  Openness    Imagination    Artistic_Interest    Feelings    Adventurousness    Intellectual_Curiosity    Liberalism    Conscientiousness    Self-Efficacy    Orderliness    Dutifulness    Achievement-Striving    Self-Discipline    Cautiousness    Extroversion    Friendliness    Gregariousness    Assertiveness    Activity_Level    Excitement-Seeking    Cheerfulness    Agreeableness     Trust    Straightforwardness    Altruism    Cooperation    Modesty    Sympathy    Neuroticism    Anxiety     Anger    Depression    Self-Consciousness    Impulsiveness    Vulnerability    Diligence    Detail-Oriented    Responsibility    Ambition    Independence    Dedication    Creativeness    Compassion    Congeniality    Confidence     Grit    Adaptability    Empathy    Curiosity    Leadership    Action-Oriented    Positivity    Honesty    Helpfulness    Cooperation    Humility    Calmness
   7.49147       16.0312              17.7998      5.0526            14.3847                    16.6404       21.2422              7.22814          5.48022       10.2536         14.5571                12.4905             9.8611          20.041          3.68962        14.9981            11.3063          3.04936          10.7636               15.0619          5.95689          5.94969  13.4674                10.223       9.62763        21.8448   19.4257      13.5807        3.798      9.81242   9.80189       7.43856              10.6837           2.65535          9.53137      22.6252            18.4908          11.3417      15.8745        11.0575       10.2397          22.1542       4.61556        10.6353       11.9236   26.7149         24.5091    5.0526       16.6404       3.05206           10.7643        5.9571    10.2312         9.62829        21.8534     19.4437     15.3333
   8.70385       20.8916              15.491       4.6747            12.9724                    19.2217       20.6111              9.68761          9.13633       12.136          24.9692                12.5445             8.0308          26.7535         5.37124        17.329             18.5169          5.75354           6.98656              15.7608          6.65737          6.78245  14.9188                12.4868      8.57279        17.7587   13.0956      10.7545        6.10251    8.98682   6.1352       10.5514               14.371            2.28123         11.852        16.7053            27.8269          20.3096      19.7604         9.27332      19.224           18.9236       3.59623         9.90483      21.6113   24.2481         18.9003    4.6747       19.2152       5.75362            6.98663       6.65716   12.4861         8.57254        17.7486     13.0967     18.1693
   9.16563       16.6301               7.75845     5.94705           11.6152                    18.6415       22.43                5.09662          6.42795        8.89135        17.0811                10.8219             8.69311         21.0293         5.50079        14.5507            17.2998          4.0959           15.4087               10.7879          6.37208          7.83491  19.2188                 9.48837     8.38248        18.3628   18.8201      19.3846        8.69552   11.8047    6.97444      17.9957               11.0664           4.1221          16.368        21.4807            16.4566           9.46495     12.5356         9.39144      11.6086          21.97         7.58944        12.8242       20.725    21.217          19.3997    5.94705      18.6422       4.09597           15.408         6.37799    9.47652        8.38272        18.304      18.8244     21.5395
   6.24227       15.0373              10.0801      4.97417           12.3932                    17.1096       23.6595             10.2065          12.2748        10.8395         26.7558                10.6698            14.8334          26.8836         4.67396        15.3795            14.9933          3.79778          10.9356               11.0308          9.25778          5.94254  13.671                 13.0856      8.31354        16.897    19.8634      14.5708        4.57555   10.8959    7.34546       7.02059              11.2637           2.28307          7.34975      20.3124            23.1686          14.2315      17.804         15.9649       11.5517          17.8854       3.86051        10.4914       17.4942   22.1463         17.9603    4.97417      17.11         3.79808           10.9336        9.25785   13.0856         8.31434        16.8951     19.8565     14.7496
   7.0777        18.0506               9.27478     5.13987           14.7719                    14.8846       25.5803              8.48723          7.05091        9.55703        23.0507                14.2801            10.6086          25.664          6.02851        12.1209            22.8458          5.77307          12.5166               14.0009          7.60145          8.3985   12.2195                 7.31893    10.7918         21.7925   20.0236      22.337         4.93661   10.7066    7.41931       8.4475               15.3616           2.10667         11.0636       22.0089            28.4003          13.675       20.5865        12.8994       12.467           25.7769       8.72956        10.3714       15.6884   21.8876         20.4824    5.13987      14.8797       5.77258           12.5175        7.60164    7.31809       10.7925         21.8022     20.0258     15.5365
   7.49731       13.5905              14.2693      4.51789           12.0794                    20.8098       21.4853              7.2395          10.1105         9.03024        24.2933                12.8564            12.705           21.9389         4.2548         10.7255            14.1866          4.027            10.6984               14.4345          8.51333          7.46754  17.9943                11.1802      9.71936        20.4871   22.6814      12.4939        5.54358   10.0437    4.24752       7.86942              16.2558           2.75804         11.9875       27.7762            26.2584          13.029       18.1053        14.4487       14.0163          26.9263       7.18535        15.8022       13.672    21.5618         19.3424    4.51789      20.8087       4.0275            10.6982        8.51625   11.1923         9.71682        20.4649     22.6821     17.2466
   8.39637       14.9617              15.9803      5.99482           11.2984                    20.8724       21.3589              6.59647          7.06706        5.88503        22.1519                12.5933             9.82758         31.3551         3.46003        10.6206            10.6672          4.08918          10.5796               12.1749          6.68689          5.34027  17.1819                 6.92982     7.69208        14.6808   17.1035      13.6991        5.83116   12.9116    7.13866       8.50621              10.7936           1.89751         12.6076       16.7239            21.6471           9.4995      19.8426        10.3237        9.95004         14.0817       6.46282         6.54727      15.5803   19.7316         21.4251    5.99482      20.8681       4.08462           10.5749        6.68863    6.93032        7.69168        14.6957     17.1063     18.3242
   6.6048        21.0877              13.8145      5.17091           12.5887                    13.7766       18.1476              6.23907          7.67402       10.5487         18.9018                12.1243             9.42369         18.7297         5.71046        10.5797            13.54            5.48883           7.32676              11.6141          5.27899          7.15081   9.59675                8.55722     8.06621        15.2153   17.6641      15.9723        5.66083   11.1743    6.10065      18.5247               11.4795           2.62044         12.8835       22.1869            18.5801           6.47383     18.8343        11.109         8.2458          24.499        5.84988        15.5372       11.8698   17.5063         15.8257    5.17091      13.7777       5.49215            7.32411       5.28035    8.52952        8.06637        15.2341     17.6819     13.2093
   7.34774       17.3399              10.2663      4.59978           10.1216                    18.3372       18.4991              6.05808          8.33884        7.11682        18.2465                11.7746             5.74136         21.3001         4.83151        14.4733            13.0869          3.53544           9.94621              13.5702          5.93061          4.32627  17.8102                 8.83156     6.56487        19.0392    8.97322     21.1712        3.94043    9.51302   4.90979       8.19649              10.7329           2.8016          10.6234       18.041             16.0454          10.2951      12.235          9.17751       9.5271          21.3074       6.70937         6.22533      12.6178   24.7171         23.9237    4.59978      18.3433       3.53922            9.94594       5.92208    8.8152         6.56345        19.0565      8.9457     15.1816
   6.95055       18.9766              12.4227      5.24521           13.4837                    16.5196       15.9349              6.64529         13.4489         6.69047        17.7773                15.9833             9.03882         22.5036         5.53594        13.4495            25.8359          4.60976          12.0665               10.3566          5.56629          8.29851  22.9189                10.8218      6.29865        22.573    19.7768      16.5043        6.42582    7.64675   6.22396       8.85963              14.3542           2.05153         13.9695       26.6836            17.7387          13.3577      24.5194        15.496        10.9885          18.8007       7.5577         11.7844       18.409    25.8066         28.1862    5.24521      16.5194       4.61146           12.0697        5.56471   10.8234         6.29864        22.5757     19.7867     18.1505
   6.00171       12.0708              12.7668      6.24827           11.8081                    20.1887       21.0633              8.71682          9.64357        5.23733        16.203                 12.1834            22.6635          24.9098         5.91813        14.2658            14.7898          2.67802          14.1231               11.6586          3.85379          5.43213  10.1117                 6.9424     10.3487         21.4224   12.3611      20.5315        3.00199   11.509     5.10403       7.07353               9.94211          1.51348         12.7491       30.6978            19.1029          16.8397      15.6352        22.8277       20.6112          26.4564       4.00888         7.09374      10.7748   28.888          24.2253    6.24827      20.1929       2.67998           14.1191        3.85513    6.95942       10.3467         21.4117     12.3612     14.0965
   7.96411       15.8881              13.5034      4.81436           10.1204                    24.7117       23.0859              7.65341          4.72364        7.95652        27.5605                 8.7641            11.1861          19.3138         5.59649         9.86832           19.1746          4.4217            8.56959              15.7901          6.93722          6.64815  14.5103                 7.38109     9.27453        22.313    16.9437      17.4002        3.58598    9.64977   8.61931       7.80303               8.23035          2.26463          9.67091      17.5535            28.8147          15.6748      15.1219        11.4639       17.7568          21.4778       3.69427         8.54794      15.1935   14.5628         25.9616    4.81436      24.7071       4.42159            8.55837       6.94465    7.39114        9.27469        22.315      16.9567     11.1124
   7.45942       25.892               17.6734      4.08446            9.42221                   15.563        20.9541              5.80859         12.522         13.4258         20.5731                10.6541            10.8449          20.713          4.51353        10.4929            11.8879          4.84854          11.9904               10.5925          4.97397          9.6363   16.3489                11.1901     14.5836         17.782    19.3854      17.5801        5.52544   10.305     7.38288       7.29704              14.6914           2.25344          9.54853      21.3763            18.3136           9.43459     16.8148        13.6845       11.2968          20.3798       6.3482         14.335        13.9403   26.1995         22.286     4.08446      15.563        4.84854           11.9904        4.97397   11.1901        14.5836         17.782      19.3854     11.9793
   5.94798       14.9503              11.1069      3.04448            8.12324                   14.1244       18.2947              6.84672         19.5531         5.75181        18.312                  9.71071            9.17529         18.4536         5.29277        11.6546            12.8624          3.80895          10.9223               13.3312          6.33893          5.41593  15.4871                 8.2152      9.26356        18.636    15.6775      10.1422        3.89985    7.06036   7.49504       5.2045               14.3452           2.10747          8.26035      21.87              16.0042           8.47907     15.4935        13.1831       10.5758          17.6913       3.79702         8.82331      13.0435   30.7221         24.4391    3.04448      14.151        3.80641           10.9242        6.33791    8.20697        9.26342        18.6012     15.6573     12.7026
   6.52132       14.009               11.3095      5.9762            11.0297                    21.9521       19.0395              7.09037         10.6504         7.7916         22.5697                11.5593             7.53836         17.9654         8.39988        14.3515            18.861           4.87987          15.487                21.1055          9.16693          5.23441   7.79095                7.47145    10.0505         22.933    17.523       19.4895        5.34916   13.2443    8.8184        8.60334              11.0697           3.74369         15.8547       20.0063            22.758            8.71163     13.1552         8.55021       9.23139         19.7491       5.63713         9.96316      13.9732   20.159          22.6252    5.9762       21.9534       4.87956           15.4843        9.16703    7.47136       10.0503         22.9331     17.5236     16.0848
   6.31116       14.4766              14.7576      5.81799           10.3837                    16.6544       23.4301              7.15214         14.2656        15.9676         14.2897                 8.29285            6.26615         24.6331         4.74543        11.9518            13.8701          5.58988           8.92522              11.8399          5.87424          6.2461   16.9019                 7.81766    10.8311         20.1514   15.5336      15.0966        7.17582    8.4555    7.64129      22.6047                9.76751          2.91955         15.7508       14.2925            25.3966           9.48588     15.9625         8.96933       8.44025         12.7103       4.56144        14.8603       24.3934   21.0743         24.2154    5.81799      16.6544       5.58988            8.92522       5.87424    7.81766       10.8311         20.1514     15.5336     15.9048

Average / Standard Deviation

  Openness    Imagination    Artistic_Interest    Feelings    Adventurousness    Intellectual_Curiosity    Liberalism    Conscientiousness    Self-Efficacy    Orderliness    Dutifulness    Achievement-Striving    Self-Discipline    Cautiousness    Extroversion    Friendliness    Gregariousness    Assertiveness    Activity_Level    Excitement-Seeking    Cheerfulness    Agreeableness    Trust    Straightforwardness    Altruism    Cooperation    Modesty    Sympathy    Neuroticism    Anxiety    Anger    Depression    Self-Consciousness    Impulsiveness    Vulnerability    Diligence    Detail-Oriented    Responsibility    Ambition    Independence    Dedication    Creativeness    Compassion    Congeniality    Confidence      Grit    Adaptability    Empathy    Curiosity    Leadership    Action-Oriented    Positivity    Honesty    Helpfulness    Cooperation    Humility    Calmness
----------  -------------  -------------------  ----------  -----------------  ------------------------  ------------  -------------------  ---------------  -------------  -------------  ----------------------  -----------------  --------------  --------------  --------------  ----------------  ---------------  ----------------  --------------------  --------------  ---------------  -------  ---------------------  ----------  -------------  ---------  ----------  -------------  ---------  -------  ------------  --------------------  ---------------  ---------------  -----------  -----------------  ----------------  ----------  --------------  ------------  --------------  ------------  --------------  ------------  --------  --------------  ---------  -----------  ------------  -----------------  ------------  ---------  -------------  -------------  ----------  ----------
   7.30967       16.7424              13.3437     5.28411             11.0438                  18.8558       20.7538               7.17773          9.49937        9.8983        20.1507                 11.9599            10.1763         22.4487          5.7576          13.9028          17.3556          4.38645           11.131                14.3498          6.60669          6.53769  14.7376                9.46618     9.34048       20.4795     16.8217    16.5057         5.20071   10.412    7.23386      10.0001               12.2955          2.5626           11.3974      21.296             21.2609            11.4654    16.7688         12.4582       11.8648         20.5904        5.76954        10.675        14.9108   23.7083         23.1319    5.28411      18.8564       4.38673            11.1302        6.60688    9.46532        9.34023       20.474      16.8225      15.8359
   0.89213        3.56367              2.86146    0.886034             1.8453                   3.42364       3.00252              1.18661          3.19631        3.39613        4.18331                 1.89168            4.17797         3.54918         1.44789          3.6049           5.47178         0.946812           2.45549               3.28413         1.33372          1.33049   3.5026                2.07734     1.79472        2.65768     3.12       4.31668        1.35486    1.82816  1.42139       4.21291               2.20837         0.605622          2.44169      5.21696            4.13093            3.224      2.97828         4.15503       3.29065         4.01351       1.6312          2.49016       3.54053   4.37723         3.43355   0.886034      3.42125      0.946683            2.45627       1.33385    2.07781        1.79466        2.65433     3.12387      2.829
